axis1,axis2,class
3.7003,1.8481,1
7.7993,1.2808,1
-5.1431,-0.42389,1
4.7264,0.81755,1
3.008,1.658,1
-2.1353,-0.30528,1
0.62886,-0.14197,1
3.0835,1.6493,1
13.316,2.3246,1
10.758,2.632,1
-2.2687,0.04991,1
11.597,2.6769,1
4.2939,-0.9135,1
1.8006,1.3802,1
4.2602,2.9708,1
1.3518,1.8177,1
1.6074,1.743,1
6.7108,1.4956,1
6.4558,1.8277,1
6.4816,1.8873,1
4.1235,1.4034,1
-1.8184,-0.30386,1
4.2681,1.0301,1
7.1553,1.6194,1
3.546,0.80876,1
5.272,2.2275,1
4.2986,3.5794,1
1.0404,-0.30892,1
2.9293,1.2524,1
-0.48961,-0.64323,1
4.8094,2.5681,1
-1.6274,1.6971,1
-1.3801,-0.97061,1
-0.55986,2.3271,1
-7.3106,-1.3515,1
6.5486,1.882,1
3.0283,2.1217,1
-0.38729,0.77148,1
6.3333,3.671,1
-3.4123,2.6113,1
1.6767,1.0733,1
1.2365,-0.7934,1
3.0094,0.83009,1
2.9893,0.40178,1
-0.73499,-0.083492,1
1.905,-0.0070104,1
1.4786,0.99062,1
3.985,3.1523,1
5.4572,0.88839,1
5.5078,1.2792,1
-0.73111,1.6172,1
2.2446,2.1044,1
-1.8394,0.85154,1
-1.5212,1.3751,1
1.9783,1.7633,1
6.8466,1.3909,1
-0.4339,1.0125,1
3.1744,0.91282,1
1.2866,0.1008,1
5.5334,2.0888,1
-1.4439,0.54279,1
2.103,0.85071,1
3.7472,1.5189,1
5.4804,2.3916,1
6.8832,2.0784,1
2.2717,1.212,1
-2.7168,0.53878,1
-0.34736,0.69299,1
-1.357,-0.18535,1
9.4328,2.8076,1
0.053296,1.9483,1
4.3656,0.88466,1
1.3915,2.6058,1
4.81,1.2663,1
-0.41867,0.42262,1
-2.4344,-0.45535,1
-2.4979,-0.37222,1
3.5438,0.39263,1
1.4391,1.2274,1
1.38,2.3129,1
6.4883,2.1376,1
2.9221,1.8903,1
2.6255,2.2751,1
7.0207,-0.44733,1
-0.54394,0.4709,1
4.2029,1.6412,1
4.6408,2.0275,1
1.2293,-0.26432,1
2.682,0.21679,1
-1.6867,1.1431,1
-1.6301,0.35286,1
2.3316,1.5367,1
4.284,0.4969,1
10.176,0.7881,1
-0.10889,1.3538,1
2.5924,2.1394,1
1.7391,2.3976,1
-4.1128,-1.2658,1
0.61187,-0.38511,1
-3.6753,-1.1488,1
4.6575,1.3619,1
-0.8082,0.036913,1
2.3165,2.2044,1
0.27805,-0.53925,1
2.9598,-0.38989,1
0.1016,0.89598,1
3.5494,2.2826,1
4.3381,0.64395,1
7.4135,0.69783,1
1.3861,0.77646,1
-4.7621,-1.4549,1
-0.65501,0.61702,1
6.2836,2.3718,1
-1.3905,0.68312,1
5.0388,-0.22497,1
2.3923,0.58626,1
6.5432,1.4156,1
-4.2009,1.6664,1
1.3748,1.7116,1
-1.8195,0.37682,1
11.196,3.5321,1
4.6096,0.47171,1
