axis1,axis2,class
4.5377,7.5864,1
5.8339,18.043,1
1.7412,-11.302,1
4.8622,10.399,1
4.3188,6.3741,1
2.6923,-4.3429,1
3.5664,1.1654,1
4.3426,10.673,1
7.5784,26.887,1
6.7694,20.242,1
2.6501,-7.0777,1
7.0349,23.251,1
4.7254,8.3349,1
3.9369,3.3045,1
4.7147,8.5939,1
3.795,3.4226,1
3.8759,3.7452,1
5.4897,15.44,1
5.409,16.471,1
5.4172,15.669,1
4.6715,6.6495,1
2.7925,-7.9321,1
4.7172,10.343,1
5.6302,12.411,1
4.4889,7.4766,1
5.0347,11.194,1
4.7269,12.459,1
3.6966,1.7993,1
4.2939,5.2434,1
3.2127,-1.0677,1
4.8884,10.51,1
2.8529,-3.8065,1
2.9311,-4.316,1
3.1905,-3.4756,1
1.0557,-15.826,1
5.4384,11.849,1
4.3252,4.6481,1
3.2451,0.849,1
5.3703,12.807,1
2.2885,-8.0264,1
3.8978,4.6856,1
3.7586,1.8701,1
4.3192,7.7939,1
4.3129,5.6253,1
3.1351,-0.40192,1
3.9699,4.7656,1
3.8351,2.533,1
4.6277,6.9928,1
5.0933,9.9309,1
5.1093,11.236,1
3.1363,-2.6366,1
4.0774,3.902,1
2.7859,-2.8569,1
2.8865,-4.1434,1
3.9932,5.7208,1
5.5326,13.753,1
3.2303,0.19286,1
4.3714,5.7551,1
3.7744,2.7165,1
5.1174,13.21,1
2.9109,-4.1545,1
4.0326,3.5471,1
4.5525,10.91,1
5.1006,13.064,1
5.5442,13.987,1
4.0859,5.5962,1
2.5084,-6.8486,1
3.2577,-0.030611,1
2.9384,-1.1361,1
6.3505,17.738,1
3.3844,1.3429,1
4.7481,11.416,1
3.8076,2.7457,1
4.8886,12.831,1
3.2352,-1.0372,1
2.5977,-7.5882,1
2.5776,-9.2055,1
4.4882,6.8531,1
3.8226,3.8792,1
3.8039,3.1379,1
5.4193,14.433,1
4.2916,5.1198,1
4.1978,5.5875,1
5.5877,12.422,1
3.1955,-2.7259,1
4.6966,7.5409,1
4.8351,10.566,1
3.7563,2.2965,1
4.2157,3.7017,1
2.8342,-4.059,1
2.852,-4.9873,1
4.1049,3.6929,1
4.7223,10.319,1
6.5855,22.015,1
3.3331,0.014308,1
4.1873,6.6592,1
3.9175,3.7095,1
2.067,-8.4863,1
3.561,2.027,1
2.2053,-6.5736,1
4.8404,10.534,1
3.112,0.055837,1
4.1001,4.7256,1
3.4555,0.16875,1
4.3035,8.7245,1
3.3997,-0.93025,1
4.49,7.3763,1
4.7394,10.524,1
5.7119,16.044,1
3.8059,4.8325,1
1.8616,-9.1559,1
3.1604,-1.3424,1
5.3546,12.144,1
2.9278,-2.5218,1
4.961,8.4931,1
4.124,5.2339,1
5.4367,15.163,1
2.0391,-9.2009,1
3.8023,3.9958,1
2.7922,-1.1821,1
6.908,25.494,1
4.8252,10.107,1
5.379,14.507,1
2.9418,-2.6437,1
3.5314,-1.266,1
3.7275,1.4762,1
5.0984,13.472,1
3.7221,2.0153,1
4.7015,9.741,1
1.9482,-11.714,1
3.6462,1.6582,1
3.1764,-0.75472,1
2.4229,-8.9865,1
4.508,8.0424,1
4.282,5.6646,1
4.0335,2.7785,1
2.6663,-5.2604,1
5.1275,8.8481,1
4.3502,3.1265,1
3.7009,0.11697,1
4.0229,2.6266,1
3.738,0.37877,1
2.2498,-10.744,1
3.7143,2.4746,1
3.1686,-4.201,1
3.0208,-2.5861,1
2.8436,-2.7624,1
3.4664,0.31501,1
1.9974,-9.6742,1
4.9642,10.069,1
